Word,Frequency,Skill Category
experience,156,Qualifications
degree,63,Qualifications
analysis,61,Other
financial,59,Other
business,57,Domain Knowledge
communication,47,Soft Skills
analytical,43,Other
bachelor,39,Qualifications
excel,31,Technical Skills
statistical,26,Analytical Skills
finance,23,Domain Knowledge
english,22,Qualifications
sql,22,Technical Skills
technical,22,Other
attention,21,Soft Skills
reporting,21,Analytical Skills
statistics,20,Other
office,19,Other
team,19,Soft Skills
analyst,18,Other
ms,18,Other
economics,17,Domain Knowledge
verbal,17,Other
development,17,Other
visualization,16,Other
industry,16,Other
systems,16,Other
role,15,Other
packages,15,Other
databases,15,Technical Skills
programming,15,Other
research,15,Analytical Skills
python,14,Technical Skills
complex,14,Other
presentation,14,Soft Skills
marketing,14,Domain Knowledge
requirements,13,Other
microsoft,12,Other
problem,12,Soft Skills
solving,12,Other
tableau,12,Technical Skills
practices,12,Other
thinking,12,Other
processes,11,Other
analytics,11,Other
modeling,11,Other
bs,11,Other
powerbi,11,Technical Skills
it,11,Other
quality,11,Other
accuracy,10,Other
mathematics,10,Other
solid,10,Other
time,10,Other
analyzing,9,Other
engineering,9,Other
analyze,9,Other
fast,9,Other
principles,9,Other
required,9,Other
mining,9,Other
other,9,Other
large,9,Other
be,9,Other
preferably,9,Other
applications,9,Other
an,9,Other
level,9,Other
market,9,Other
testing,9,Other
datasets,8,Other
qualifications,8,Other
proficient,8,Other
both,8,Other
manage,8,Other
paced,8,Other
database,8,Other
design,8,Other
learning,8,Other
models,8,Other
spss,8,Other
sas,8,Other
7,8,Other
effectively,8,Other
all,8,Other
well,8,Other
interpret,8,Other
critical,8,Other
languages,8,Other
based,8,Other
certification,8,Other
programs,7,Other
administration,7,Other
oriented,7,Other
tasks,7,Other
technologies,7,Other
warehousing,7,Technical Skills
etl,7,Technical Skills
frameworks,7,Other
amounts,7,Other
concepts,7,Other
arabic,7,Other
language,7,Other
methods,7,Other
projects,7,Other
documentation,7,Other
within,7,Other
are,7,Other
identify,7,Other
customer,7,Other
interpersonal,7,Other
conclusions,7,Other
various,7,Other
professional,7,Other
you,7,Other
fraud,7,Other
regulations,7,Other
standards,7,Other
strategies,7,Other
internal,7,Other
